#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-05-24;5312304;342226;2114347;6.44;39.80;53.76
2020-05-23;5285532;340818;2093315;6.45;39.60;53.95
2020-05-22;5213729;338282;2058635;6.49;39.48;54.03
2020-05-21;5104943;332972;1950380;6.52;38.21;55.27
2020-05-20;4998977;328163;1899106;6.56;37.99;55.45
2020-05-19;4899872;323331;1840511;6.60;37.56;55.84
2020-05-18;4804315;318527;1787386;6.63;37.20;56.17
2020-05-17;4716600;315318;1738398;6.69;36.86;56.46
2020-05-16;4636225;311923;1695120;6.73;36.56;56.71
2020-05-15;4544533;307710;1638371;6.77;36.05;57.18
2020-05-14;4444320;302462;1589197;6.81;35.76;57.44
2020-05-13;4349096;297239;1549851;6.83;35.64;57.53
2020-05-12;4263981;292004;1494583;6.85;35.05;58.10
2020-05-11;4179447;286369;1457371;6.85;34.87;58.28
2020-05-10;4103681;282748;1410135;6.89;34.36;58.75
2020-05-09;4025908;279350;1376776;6.94;34.20;58.86
2020-05-08;3939824;274936;1323062;6.98;33.58;59.44
2020-05-07;3847468;269605;1285692;7.01;33.42;59.58
2020-05-06;3757066;263868;1246363;7.02;33.17;59.80
2020-05-05;3664306;257272;1199765;7.02;32.74;60.24
2020-05-04;3584630;251570;1163657;7.02;32.46;60.52
2020-05-03;3508149;247501;1126047;7.06;32.10;60.85
2020-05-02;3428762;243839;1093923;7.11;31.90;60.98
2020-05-01;3347139;238931;1053327;7.14;31.47;61.39
2020-04-30;3258259;233388;1014753;7.16;31.14;61.69
2020-04-29;3195212;227638;972719;7.12;30.44;62.43
2020-04-28;3114703;217153;928658;6.97;29.82;63.21
2020-04-27;3043016;211167;893967;6.94;29.38;63.68
2020-04-26;2972727;206544;865733;6.95;29.12;63.93
2020-04-25;2897941;202846;816685;7.00;28.18;64.82
2020-04-24;2811906;197151;793420;7.01;28.22;64.77
2020-04-23;2708884;190858;738486;7.05;27.26;65.69
2020-04-22;2623972;183066;709694;6.98;27.05;65.98
2020-04-21;2549122;176583;679819;6.93;26.67;66.40
2020-04-20;2472366;169986;645738;6.88;26.12;67.01
2020-04-19;2401378;165044;623903;6.87;25.98;67.15
2020-04-18;2321582;159510;592319;6.87;25.51;67.62
2020-04-17;2240190;153822;568343;6.87;25.37;67.76
2020-04-16;2152746;143801;542107;6.68;25.18;68.14
2020-04-15;2056054;134177;511019;6.53;24.85;68.62
2020-04-14;1976191;125984;474261;6.38;24.00;69.63
2020-04-13;1904838;119482;448655;6.27;23.55;70.17
2020-04-12;1834721;114089;421722;6.22;22.99;70.80
2020-04-11;1762040;108502;402110;6.16;22.82;71.02
2020-04-10;1682457;102525;376096;6.09;22.35;71.55
2020-04-09;1587140;95455;353975;6.01;22.30;71.68
2020-04-08;1501455;88338;328661;5.88;21.89;72.23
2020-04-07;1414530;81865;300054;5.79;21.21;73.00
2020-04-06;1338730;74565;276515;5.57;20.66;73.78
2020-04-05;1265936;69374;260012;5.48;20.54;73.98
2020-04-04;1191498;64606;246152;5.42;20.66;73.92
2020-04-03;1109925;58787;225796;5.30;20.34;74.36
2020-04-02;1025731;52983;210263;5.17;20.50;74.34
2020-04-01;943540;46809;193171;4.96;20.47;74.57
2020-03-31;857487;42107;178028;4.91;20.76;74.33
2020-03-30;782389;37582;164560;4.80;21.03;74.16
2020-03-29;720140;33925;149076;4.71;20.70;74.59
2020-03-28;660693;30652;139409;4.64;21.10;74.26
2020-03-27;593291;27198;130909;4.58;22.06;73.35
2020-03-26;529591;23970;122144;4.53;23.06;72.41
2020-03-25;467594;21181;113764;4.53;24.33;71.14
2020-03-24;417966;18615;107699;4.45;25.77;69.78
2020-03-23;378289;16499;100958;4.36;26.69;68.95
2020-03-22;337124;14625;97243;4.34;28.84;66.82
2020-03-21;304528;12973;91676;4.26;30.10;65.64
2020-03-20;272167;11299;87403;4.15;32.11;63.73
2020-03-19;242829;9996;84962;4.12;34.99;60.90
2020-03-18;215003;8849;83313;4.12;38.75;57.13
2020-03-17;197220;7932;80840;4.02;40.99;54.99
2020-03-16;181646;7132;78088;3.93;42.99;53.08
2020-03-15;168589;6490;76034;3.85;45.10;51.05
2020-03-14;156100;5819;72624;3.73;46.52;49.75
2020-03-13;145196;5442;70251;3.75;48.38;47.87
2020-03-12;133836;4964;68560;3.71;51.23;45.06
2020-03-11;125865;4615;67003;3.67;53.23;43.10
2020-03-10;118582;4262;64404;3.59;54.31;42.09
2020-03-09;113785;4002;62512;3.52;54.94;41.54
2020-03-08;109814;3803;60695;3.46;55.27;41.27
2020-03-07;105836;3558;58359;3.36;55.14;41.50
2020-03-06;101800;3460;55866;3.40;54.88;41.72
2020-03-05;97886;3348;53797;3.42;54.96;41.62
2020-03-04;95124;3254;51171;3.42;53.79;42.79
2020-03-03;92844;3160;48229;3.40;51.95;44.65
2020-03-02;90309;3085;45602;3.42;50.50;46.09
2020-03-01;88371;2996;42716;3.39;48.34;48.27
2020-02-29;86013;2941;39782;3.42;46.25;50.33
2020-02-28;84124;2872;36711;3.41;43.64;52.95
2020-02-27;82756;2814;33277;3.40;40.21;56.39
2020-02-26;81397;2770;30384;3.40;37.33;59.27
2020-02-25;80415;2708;27905;3.37;34.70;61.93
2020-02-24;79570;2629;25227;3.30;31.70;64.99
2020-02-23;78985;2469;23394;3.13;29.62;67.26
2020-02-22;78599;2458;22886;3.13;29.12;67.76
